student_id,name,email,year_level,course
2023102847,Juan dela Cruz,juan.delacruz@school.edu,4th Year,BS Food Technology
2023204531,Maria Santos,maria.santos@school.edu,1st Year,BS Accountancy
2023318276,Carlo Reyes,carlo.reyes@school.edu,2nd Year,BS Industrial Engineering
2023429105,Ana Gonzales,ana.gonzales@school.edu,4th Year,BS Computer Science
2023537864,Miguel Torres,miguel.torres@school.edu,1st Year,BS Information Technology
2023641293,Rosa Villanueva,rosa.villanueva@school.edu,1st Year,BS Civil Engineering
2023753820,Andres Lim,andres.lim@school.edu,4th Year,BS Electronics Engineering
2023867412,Josefina Ramos,josefina.ramos@school.edu,3rd Year,BS Civil Engineering
2023974056,Paolo Mendoza,paolo.mendoza@school.edu,2nd Year,BS Business Administration
2023081739,Kristine Flores,kristine.flores@school.edu,4th Year,BS Food Technology
2023193482,Ramon Castillo,ramon.castillo@school.edu,1st Year,BS Marine Biology
2023256714,Lourdes Aquino,lourdes.aquino@school.edu,3rd Year,BS Hospitality Management
2023348925,Jerome Bautista,jerome.bautista@school.edu,2nd Year,BS Biology
2023461083,Maricel Cruz,maricel.cruz@school.edu,3rd Year,BS Computer Science
2023572396,Danilo Fernandez,danilo.fernandez@school.edu,2nd Year,BS Industrial Engineering
2023684157,Sheila Garcia,sheila.garcia@school.edu,1st Year,BS Computer Engineering
2023795842,Eduardo Hernandez,eduardo.hernandez@school.edu,3rd Year,BS Marine Biology
2023809263,Teresita Jimenez,teresita.jimenez@school.edu,2nd Year,BS Business Administration
2023912574,Renato Lopez,renato.lopez@school.edu,2nd Year,BS Food Technology
2023023816,Cecilia Navarro,cecilia.navarro@school.edu,2nd Year,BS Chemical Engineering
